SUMLEV,NAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,PPOPCHG_2020,PPOPCHG_2021,PPOPCHG_2022,TOTAL POPESTIMATE,TOTAL NPOPCHG,TOTAL PPOPCHG
40,Nevada,3115648,3146402,3177772,11024,30754,31370,0.355083257,0.987081981,0.997011825,9439822,73148,2.339177063
40,New Hampshire,1378587,1387505,1395231,1069,8918,7726,0.077603342,0.646894248,0.556826822,4161323,17713,1.281324412
40,New Jersey,9271689,9267961,9261699,-17342,-3728,-6262,-0.186693316,-0.040208424,-0.067566102,27801349,-27332,-0.294467842
40,New Mexico,2118390,2116677,2113344,863,-1713,-3333,0.040755088,-0.080863297,-0.157463798,6348411,-4183,-0.197572007
40,New York,20108296,19857492,19677151,-92934,-250804,-180341,-0.460041295,-1.247266302,-0.908176118,59642939,-524079,-2.615483715
40,North Carolina,10449445,10565885,10698973,10031,116440,133088,0.096087769,1.114317555,1.259601065,31714303,259559,2.470006389
40,North Dakota,779518,777934,779261,427,-1584,1327,0.054807462,-0.203202492,0.170580024,2336713,170,0.022184994
40,Ohio,11797517,11764342,11756058,-1857,-33175,-8284,-0.015738123,-0.28120324,-0.070416178,35317917,-43316,-0.367357541
40,Oklahoma,3964912,3991225,4019800,5566,26313,28575,0.140578772,0.663646507,0.715945606,11975937,60454,1.520170885
40,Oregon,4244795,4256301,4240137,7504,11506,-16164,0.17709428,0.271061382,-0.379766375,12741233,2846,0.068389287
40,Pennsylvania,12994440,13012059,12972008,-8249,17619,-40051,-0.063440724,0.13558876,-0.307799096,38978507,-30681,-0.23565106
40,Rhode Island,1096345,1096985,1093734,-1026,640,-3251,-0.093496183,0.058375785,-0.296357744,3287064,-3637,-0.331478142
40,South Carolina,5131848,5193266,5282634,13419,61418,89368,0.262170287,1.196800841,1.720843877,15607748,164205,3.179815005
40,South Dakota,887799,896164,909824,1122,8365,13660,0.126539879,0.942217777,1.524274575,2693787,23147,2.593032231
40,Tennessee,6925619,6968351,7051339,14833,42732,82988,0.214635499,0.61701344,1.19092738,20945309,140553,2.022576319
40,Texas,29232474,29558864,30029572,87046,326390,470708,0.298660908,1.116532251,1.592442795,88820910,884144,3.007635954
40,Utah,3283785,3339113,3380800,12171,55328,41687,0.372018215,1.684884973,1.248445321,10003698,109186,3.305348509
40,Vermont,642893,646972,647064,-192,4079,92,-0.029856084,0.634475722,0.01422009,1936929,3979,0.618839728
40,Virginia,8636471,8657365,8683619,5087,20894,26254,0.058936087,0.241927519,0.303256245,25977455,52235,0.604119851
40,Washington,7724031,7740745,7785786,18784,16714,45041,0.243781932,0.216389603,0.581869058,23250562,80539,1.042040593
40,West Virginia,1791420,1785526,1775156,-2335,-5894,-10370,-0.130173853,-0.329012738,-0.580781238,5352102,-18599,-1.039967829
40,Wisconsin,5896271,5880101,5892539,2546,-16170,12438,0.043198487,-0.274241126,0.211526979,17668911,-1186,-0.01951566
40,Wyoming,577605,579483,581381,768,1878,1898,0.133139865,0.32513569,0.327533336,1738469,4544,0.785808891
40,Puerto Rico,3281557,3262693,3221789,-4317,-18864,-40904,-0.13138057,-0.574849073,-1.253688288,9766039,-64085,-1.959917931
